Date,Morning Readings (Apostles),Evening Readings (Prophets),
2026-09-06,1 Timothy 3:14-16,Genesis 3:8-15,
2026-09-13,Romans 3:21-28,Genesis 22:9-18,
2026-09-20,Romans 5:6-11,2 Samuel 7:1-7,
2026-09-27,Romans 6:1-7,2 Samuel 7:8-16,Last Sunday
2026-10-04,Romans 6:8-14,Psalm 45:1-9,
2026-10-11,Romans 6:15-19,Psalm 45:10-17,
2026-10-18,Romans 12:1-8,Psalm 110,
2026-10-25,Romans 12:9-14,Isaiah 1:13-20,Last Sunday
2026-11-01,Romans 12:15-21,Isaiah 2:2-5,
2026-11-08,1 Corinthians 10:1-11,Isaiah 4:2-6,
2026-11-15,1 Corinthians 14:26-35,Isaiah 7:10-16,
2026-11-22,1 Corinthians 15:1-11,Isaiah 9:1-7,
2026-11-29,1 Corinthians 15:50-58,Isaiah 11:1-5,Last Sunday
2026-12-06,2 Corinthians 5:14-21,Isaiah 28:14-18,
2026-12-13,2 Corinthians 8:1-9,Isaiah 40:3-8,
2026-12-20,Galatians 3:3-8,Isaiah 40:9-17,
2026-12-27,Galatians 5:16-24,Isaiah 40:18-24,Last Sunday
2027-01-03,Ephesians 2:11-16,Isaiah 40:25-31,
2027-01-10,Ephesians 5:1-7,Isaiah 42:1-7,
2027-01-17,Philippians 2:5-11,Isaiah 52:13-53:3,
2027-01-24,Philippians 2:12-18,Isaiah 53:4-7,
2027-01-31,"Colossians 1:13-14, 19-22",Isaiah 53:8-12,Last Sunday
2027-02-07,Colossians 3:1-10,Jeremiah 23:2-6,
2027-02-14,1 Thessalonians 4:13-18,Jeremiah 31:31-34,
2027-02-21,1 Thessalonians 5:4-10,Ezekial 34:11-16,
2027-02-28,1 Timothy 1:12-16,Ezekiel 34:17-24,Last Sunday
2027-03-07,1 Timothy 2:1-8,Ezekiel 37:21-28,
2027-03-14,Titus 2:11-14,"Daniel 7:9-10, 13-14",
2027-03-21,Titus 3:3-9,Joel 2:28-3:2,
2027-03-28,Hebrews 2:9-15,Micah 4:1-5,Last Sunday
2027-04-04,Hebrews 10:4-10,Micah 5:1-4,
2027-04-11,1 Peter 1:3-9,Haggai 2:2-7,
2027-04-18,1 Peter 2:19-25,Zechariah 2:10-3:5,
2027-04-25,1 John 2:1-6,Zechariah 3:7-10,Last Sunday
2027-05-02,1 John 4:1-6,Zechariah 6:11-15,
2027-05-09,1 John 4:7-14,Zechariah 12:10-13:2,
2027-05-16,1 John 5:13-20,Zehariah 13:7-9,
2027-05-23,Revelation 5:1-10,Malachi 3:1-6,
2027-05-30,Jude 17-25,Malachi 4:1-6,Last Sunday
2027-06-06,Proverbs 2:1-8,John 14:1-6,
2027-06-13,Proverbs 3:27-35,John 14:7-15,
2027-06-20,Proverbs 4:20-27,John 14:18-24,
2027-06-27,Proverbs 6:1-5,John 15:1-8,Last Sunday
2027-07-04,Proverbs 6:6-11,John 15:9-17,
2027-07-11,Proverbs 6:12-19,John 15:18-25,
2027-07-18,Proverbs 9:1-6,John 15:26-16:4,
2027-07-25,Proverbs 9:7-12,John 16:23-27,Last Sunday
2027-08-01,Proverbs 9:13-18,John 16:28-33,
2027-08-08,Proverbs 24:17-22,John 17:1-5,
2027-08-15,Proverbs 24:30-34,John 17:6-11,
2027-08-22,Proverbs 30:5-9,John 17:12-19,
2027-08-29,Proverbs 30:11-14,John 17:20-26,Last Sunday
